Project_ID,Project_Type,Location,Area_Impacted,Air_Emissions,Water_Pollution,Habitat_Loss,Carbon_Footprint,Mitigation_Plan,Impact_Score,Budget,Duration,Stakeholders,Public_Acceptance,Sustainability_Practices,States,States_Code
Project_1,Urban Development,City_E,75.11,772.98,30.68,7.24,1973.07,Planned,94.57,2133438,32,"['Private Sector', 'Private Sector', 'Government']",Low,"['Green Infrastructure', 'Green Infrastructure']",Alabama,AL
Project_2,Energy,City_E,39.16,519.98,43.21,1.21,4398.1,Implemented,83.8,9663668,6,"['Private Sector', 'Government', 'Local Community']",High,"['Waste Management', 'Green Infrastructure']",Alaska,AK
Project_3,Energy,City_B,41.32,505.63,43.89,2.27,7310,Implemented,5,2710097,44,"['Local Community', 'Local Community', 'Private Sector']",Low,"['Renewable Energy', 'Waste Management']",Arizona,AZ
Project_4,Energy,City_A,73.48,970.94,24.86,4.19,8448.51,Implemented,50.26,6371545,58,"['Local Community', 'Government', 'Local Community']",High,"['Green Infrastructure', 'Green Infrastructure']",Arkansas,AR
Project_5,Water Management,City_E,50.37,941.33,11.35,9.33,8839.48,Not Applicable,66.94,4509324,39,"['Local Community', 'Environmental Organization', 'Environmental Organization']",High,"['Energy Efficiency', 'Green Infrastructure']",California,CA
Project_6,Urban Development,City_E,10.62,633.7,63.88,1.19,3495.41,Implemented,4.47,2448014,37,"['Government', 'Private Sector', 'Environmental Organization']",Medium,"['Renewable Energy', 'Green Infrastructure']",Colorado,CO
Project_7,Energy,City_E,9.34,757.17,40.18,2.7,9257.02,Planned,89.98,3261435,25,"['Environmental Organization', 'Government', 'Private Sector']",Low,"['Waste Management', 'Green Infrastructure']",Connecticut,CT
Project_8,Construction,City_C,53.58,106.74,53.54,3.86,8245.43,Planned,79.21,242039,17,"['Government', 'Environmental Organization', 'Private Sector']",Medium,"['Energy Efficiency', 'Waste Management']",Delaware,DE
Project_9,Transportation,City_C,47.98,728.08,32.1,6.14,9024.68,Implemented,66.55,6656852,8,"['Private Sector', 'Government', 'Private Sector']",Medium,"['Waste Management', 'Energy Efficiency']",District of Columbia,DC
Project_10,Energy,City_E,96.05,691.45,49.58,7.74,3861.81,Not Applicable,15.79,3630048,22,"['Environmental Organization', 'Government', 'Local Community']",Low,"['Energy Efficiency', 'Waste Management']",Florida,FL
Project_11,Construction,City_E,56.48,883.6,90.66,6.71,6661.54,Planned,73.02,7500875,21,"['Local Community', 'Government', 'Private Sector']",Low,"['Energy Efficiency', 'Waste Management']",Georgia,GA
Project_12,Energy,City_E,22.01,290.38,25.15,7.37,1532.69,Not Applicable,70.75,8841188,54,"['Government', 'Government', 'Private Sector']",Medium,"['Waste Management', 'Energy Efficiency']",Hawaii,HI
Project_13,Construction,City_E,22.98,632.25,87.79,0.79,3138.53,Implemented,50.81,1105207,51,"['Government', 'Local Community', 'Environmental Organization']",High,"['Energy Efficiency', 'Energy Efficiency']",Idaho,ID
Project_14,Construction,City_B,58.58,772.41,84.22,8.89,1454.7,Implemented,4.59,5193158,47,"['Environmental Organization', 'Environmental Organization', 'Private Sector']",High,"['Renewable Energy', 'Renewable Energy']",Illinois,IL
Project_15,Urban Development,City_A,62.54,211.62,35.42,7.63,3816.43,Planned,5.7,9770221,20,"['Environmental Organization', 'Private Sector', 'Private Sector']",High,"['Waste Management', 'Energy Efficiency']",Indiana,IN
Project_16,Urban Development,City_C,72.41,702.4,51.33,8.24,5510.95,Implemented,92.32,963023,31,"['Private Sector', 'Environmental Organization', 'Private Sector']",Medium,"['Energy Efficiency', 'Waste Management']",Iowa,IA
Project_17,Urban Development,City_A,93.71,226.25,73.73,2.69,6927.39,Implemented,12.87,7313532,26,"['Environmental Organization', 'Local Community', 'Local Community']",High,"['Renewable Energy', 'Green Infrastructure']",Kansas,KS
Project_18,Energy,City_D,57.95,923.39,63.14,5.98,5765.84,Implemented,16.15,4749311,26,"['Local Community', 'Private Sector', 'Local Community']",High,"['Waste Management', 'Energy Efficiency']",Kentucky,KY
Project_19,Transportation,City_B,18.35,854.98,97.58,2.77,6145.89,Planned,67.55,1626705,56,"['Local Community', 'Local Community', 'Private Sector']",High,"['Renewable Energy', 'Energy Efficiency']",Louisiana,LA
Project_20,Water Management,City_E,43.31,390.29,32.17,3.32,1930.48,Planned,9.3,9786431,27,"['Environmental Organization', 'Private Sector', 'Government']",Medium,"['Energy Efficiency', 'Waste Management']",Maine,ME
Project_21,Construction,City_E,60.45,735.6,71.63,0.71,5148.61,Implemented,88.79,917408,31,"['Private Sector', 'Government', 'Local Community']",High,"['Energy Efficiency', 'Energy Efficiency']",Maryland,MD
Project_22,Water Management,City_A,12.77,568.41,25.95,9.86,9823,Implemented,6.64,1697309,53,"['Local Community', 'Environmental Organization', 'Private Sector']",Low,"['Renewable Energy', 'Energy Efficiency']",Massachusetts,MA
Project_23,Construction,City_D,15.72,269.88,70.9,2.22,1776.2,Not Applicable,29.05,1073220,44,"['Private Sector', 'Private Sector', 'Environmental Organization']",Low,"['Energy Efficiency', 'Renewable Energy']",Michigan,MI
Project_24,Construction,City_E,16.47,691.6,32.6,4.37,4126.36,Planned,38.84,1651622,52,"['Environmental Organization', 'Private Sector', 'Government']",High,"['Green Infrastructure', 'Waste Management']",Minnesota,MN
Project_25,Water Management,City_E,57.73,581.47,11.82,8.73,5811.82,Implemented,33.52,2358330,42,"['Local Community', 'Government', 'Local Community']",Low,"['Energy Efficiency', 'Waste Management']",Mississippi,MS
Project_26,Transportation,City_A,56.12,323.57,37.44,0.29,8060.41,Not Applicable,78.84,9803850,6,"['Local Community', 'Environmental Organization', 'Environmental Organization']",Medium,"['Waste Management', 'Green Infrastructure']",Missouri,MO
Project_27,Energy,City_D,63.15,733.68,20.36,1.08,5915.57,Planned,31.91,449690,49,"['Local Community', 'Environmental Organization', 'Local Community']",Medium,"['Waste Management', 'Waste Management']",Montana,MT
Project_28,Energy,City_B,61.95,283.43,76.31,1.12,5199.38,Not Applicable,21.77,1701481,10,"['Local Community', 'Government', 'Local Community']",Low,"['Waste Management', 'Waste Management']",Nebraska,NE
Project_29,Urban Development,City_B,91.33,770.33,25.54,2.22,5327.52,Implemented,60.44,8228317,33,"['Private Sector', 'Local Community', 'Local Community']",Low,"['Renewable Energy', 'Green Infrastructure']",Nevada,NV
Project_30,Construction,City_E,7.84,861.91,30.09,3.68,2785.22,Planned,28.23,3681685,18,"['Private Sector', 'Local Community', 'Local Community']",High,"['Green Infrastructure', 'Waste Management']",New Hampshire,NH
Project_31,Energy,City_E,43.1,816.76,16.94,3.63,5557.1,Not Applicable,30.03,985486,23,"['Government', 'Private Sector', 'Private Sector']",High,"['Energy Efficiency', 'Energy Efficiency']",New Jersey,NJ
Project_32,Water Management,City_C,36.93,994.24,87.12,7.2,6198.21,Planned,9.98,876194,15,"['Private Sector', 'Environmental Organization', 'Government']",Low,"['Energy Efficiency', 'Renewable Energy']",New Mexico,NM
Project_33,Construction,City_B,16.54,537.5,27.41,2.77,6115.37,Not Applicable,77.51,1547298,49,"['Government', 'Environmental Organization', 'Government']",Low,"['Waste Management', 'Waste Management']",New York,NY
Project_34,Water Management,City_C,20.34,311.37,66.91,6.94,6537.9,Implemented,30.38,2211199,46,"['Environmental Organization', 'Private Sector', 'Private Sector']",High,"['Renewable Energy', 'Energy Efficiency']",North Carolina,NC
Project_35,Urban Development,City_E,7.42,510.89,92.72,5,9273.47,Not Applicable,91.02,3412754,36,"['Private Sector', 'Environmental Organization', 'Private Sector']",Medium,"['Green Infrastructure', 'Waste Management']",North Dakota,ND
Project_36,Energy,City_A,85.19,101.92,12.59,4.88,8581.33,Not Applicable,82.14,7495923,23,"['Local Community', 'Environmental Organization', 'Private Sector']",High,"['Waste Management', 'Energy Efficiency']",Ohio,OH
Project_37,Water Management,City_E,2.91,231.09,70,3.56,8363.52,Not Applicable,3.15,175827,32,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",Low,"['Energy Efficiency', 'Green Infrastructure']",Oklahoma,OK
Project_38,Urban Development,City_A,56.67,122.13,55.09,3.38,2010.5,Planned,86.74,3742830,23,"['Environmental Organization', 'Environmental Organization', 'Local Community']",Medium,"['Waste Management', 'Energy Efficiency']",Oregon,OR
Project_39,Water Management,City_C,53.42,574.19,54.02,2.87,8286.81,Implemented,39.92,1703345,12,"['Environmental Organization', 'Local Community', 'Government']",Low,"['Waste Management', 'Waste Management']",Pennsylvania,PA
Project_40,Construction,City_A,83.98,486.23,41.64,8.43,5547.48,Not Applicable,87.72,1681608,28,"['Private Sector', 'Private Sector', 'Government']",Medium,"['Energy Efficiency', 'Renewable Energy']",Rhode Island,RI
Project_41,Urban Development,City_B,10.77,126.41,53.51,5.93,3853.32,Implemented,15.8,3928471,21,"['Environmental Organization', 'Local Community', 'Government']",Medium,"['Green Infrastructure', 'Renewable Energy']",South Carolina,SC
Project_42,Energy,City_D,65.44,812.77,87.02,7.48,9258.25,Planned,4.17,7838600,48,"['Government', 'Local Community', 'Government']",Low,"['Waste Management', 'Waste Management']",South Dakota,SD
Project_43,Construction,City_C,31.38,722.64,76.95,7.11,2711.53,Planned,27.65,1311641,59,"['Private Sector', 'Local Community', 'Environmental Organization']",Low,"['Renewable Energy', 'Energy Efficiency']",Tennessee,TN
Project_44,Transportation,City_B,93.58,902.08,89.11,1.86,5753.44,Not Applicable,42.71,3735843,58,"['Government', 'Local Community', 'Private Sector']",Low,"['Waste Management', 'Renewable Energy']",Texas,TX
Project_45,Energy,City_C,11.43,211.05,68.46,9.66,2559.2,Not Applicable,5.14,1608959,12,"['Government', 'Local Community', 'Local Community']",Medium,"['Green Infrastructure', 'Renewable Energy']",Utah,UT
Project_46,Water Management,City_C,6.35,553.45,99.73,0.9,4059.13,Implemented,88.28,1467093,18,"['Private Sector', 'Local Community', 'Local Community']",Low,"['Green Infrastructure', 'Waste Management']",Vermont,VT
Project_47,Water Management,City_C,64.41,142.33,56.26,8.02,1533.85,Planned,16.67,9079538,58,"['Private Sector', 'Government', 'Government']",Medium,"['Green Infrastructure', 'Renewable Energy']",Virginia,VA
Project_48,Water Management,City_A,8.29,992.2,81.88,4.88,3169.06,Planned,70.87,1361129,18,"['Local Community', 'Local Community', 'Environmental Organization']",High,"['Renewable Energy', 'Energy Efficiency']",Washington,WA
Project_49,Urban Development,City_B,99.2,496.82,25.13,5.97,3000.46,Planned,2.17,1594217,20,"['Government', 'Private Sector', 'Government']",Medium,"['Renewable Energy', 'Green Infrastructure']",West Virginia,WV
Project_50,Construction,City_A,62.3,503.78,70.07,4.53,1013.4,Implemented,25.04,9678273,15,"['Environmental Organization', 'Environmental Organization', 'Local Community']",Medium,"['Renewable Energy', 'Energy Efficiency']",Wisconsin,WI
Project_51,Energy,City_B,86.11,262.88,11.98,8.78,9871.06,Not Applicable,77.07,9451947,37,"['Private Sector', 'Government', 'Environmental Organization']",High,"['Green Infrastructure', 'Energy Efficiency']",Wyoming,WY
Project_52,Construction,City_B,56.46,137.72,41.55,6.79,3225.98,Implemented,57.22,4269044,23,"['Private Sector', 'Private Sector', 'Private Sector']",Low,"['Energy Efficiency', 'Waste Management']",Puerto Rico,PR
Project_53,Water Management,City_E,92.7,360.01,25.29,8.96,5751.27,Planned,75.98,500816,31,"['Local Community', 'Government', 'Private Sector']",High,"['Energy Efficiency', 'Energy Efficiency']",Alabama,AL
Project_54,Construction,City_E,87.23,616.12,14.94,2.13,2603.15,Implemented,32.05,9200178,52,"['Private Sector', 'Private Sector', 'Local Community']",Medium,"['Renewable Energy', 'Waste Management']",Alaska,AK
Project_55,Water Management,City_C,17.44,177.54,15.35,4.33,6932.58,Planned,86.32,4898183,6,"['Local Community', 'Government', 'Private Sector']",Low,"['Green Infrastructure', 'Green Infrastructure']",Arizona,AZ
Project_56,Transportation,City_D,13.14,314.74,52.09,5.21,7948.29,Not Applicable,18.84,8203623,11,"['Local Community', 'Environmental Organization', 'Government']",High,"['Waste Management', 'Energy Efficiency']",Arkansas,AR
Project_57,Water Management,City_B,52.69,521.93,55.21,0.78,6221.92,Planned,3.29,9908577,21,"['Local Community', 'Private Sector', 'Local Community']",High,"['Green Infrastructure', 'Green Infrastructure']",California,CA
Project_58,Water Management,City_E,25.17,837.28,18.41,8.67,1707.51,Not Applicable,6.01,7245181,23,"['Local Community', 'Local Community', 'Local Community']",Medium,"['Renewable Energy', 'Renewable Energy']",Colorado,CO
Project_59,Construction,City_A,85.73,320.98,54.32,9.88,1697.91,Planned,55.16,4201087,37,"['Environmental Organization', 'Private Sector', 'Environmental Organization']",Low,"['Waste Management', 'Energy Efficiency']",Connecticut,CT
Project_60,Transportation,City_A,75.5,995.01,97.71,3.82,1265.66,Planned,25.54,5494146,11,"['Government', 'Environmental Organization', 'Local Community']",High,"['Energy Efficiency', 'Waste Management']",Delaware,DE
Project_61,Water Management,City_A,81.01,398.27,65.21,1.44,6020.72,Implemented,64.99,8891984,38,"['Local Community', 'Private Sector', 'Environmental Organization']",High,"['Green Infrastructure', 'Energy Efficiency']",District of Columbia,DC
Project_62,Urban Development,City_A,82.49,264.93,35.61,9.71,2173.48,Not Applicable,97.4,9745482,46,"['Private Sector', 'Environmental Organization', 'Private Sector']",High,"['Waste Management', 'Waste Management']",Florida,FL
Project_63,Transportation,City_A,16.27,370.23,65.45,6.46,4654.69,Not Applicable,25.12,1293227,54,"['Local Community', 'Private Sector', 'Private Sector']",Low,"['Renewable Energy', 'Renewable Energy']",Georgia,GA
Project_64,Urban Development,City_A,16.31,227.44,63.85,7.27,4071.9,Planned,2.1,4327604,32,"['Government', 'Local Community', 'Local Community']",High,"['Renewable Energy', 'Renewable Energy']",Hawaii,HI
Project_65,Urban Development,City_A,56.24,412.09,34.38,2.81,2877.45,Planned,27.99,6468376,20,"['Government', 'Private Sector', 'Private Sector']",High,"['Energy Efficiency', 'Waste Management']",Idaho,ID
Project_66,Urban Development,City_B,11.62,383.93,53.29,6.29,4014.22,Planned,76.48,6174729,9,"['Private Sector', 'Government', 'Environmental Organization']",Medium,"['Renewable Energy', 'Waste Management']",Illinois,IL
Project_67,Construction,City_C,71.42,919.36,29.26,1.4,4650.34,Planned,48.56,5900560,22,"['Government', 'Local Community', 'Government']",Medium,"['Renewable Energy', 'Renewable Energy']",Indiana,IN
